_class,Username,page,timestamp,videoId,round,component,componentValue,userId
de.tum.rs.dao.Interaction,Camilla,Profile,1714174351311,,5,Topic Preferences: Sliders,Ariana Grande,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174365602,f_6ro35U74s,5,Like button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174406958,f_6ro35U74s,5,'...' button,Open,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174408547,f_6ro35U74s,5,'...' button,Submit,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174408547,f_6ro35U74s,5,'...' button: Five-star rating,5,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174447803,TYkrDK6msp0,5,Tour,Finish,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174472172,v9eyxtuUfyQ,5,Like button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174482881,ftDCpoN6kDs,5,Tour,Finish,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174491996,7vKCzQjXq0Y,6,Like button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174491996,7vKCzQjXq0Y,6,Like button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174506122,jhwvCKrUq9U,6,Tour,Finish,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174506122,jhwvCKrUq9U,6,Tour,Finish,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174518725,-ft5UVV_WcY,6,Like button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174518725,-ft5UVV_WcY,6,Like button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174519577,-ft5UVV_WcY,6,'...' button,Open,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174519577,-ft5UVV_WcY,6,'...' button,Open,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174521407,-ft5UVV_WcY,6,'...' button: Five-star rating,5,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174521407,-ft5UVV_WcY,6,'...' button: Five-star rating,5,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174521408,-ft5UVV_WcY,6,'...' button,Submit,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174560067,p1u_6BexotY,6,Dislike button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174561028,p1u_6BexotY,6,'...' button,Open,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174565439,p1u_6BexotY,6,'...' button: Dislike reasons,"[""Not interested in topics""]",Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174565439,p1u_6BexotY,6,'...' button: Five-star rating,1,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174565439,p1u_6BexotY,6,'...' button,Submit,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174567337,p1u_6BexotY,6,Video: Info button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174584845,QhQ6WwIXrNo,6,Tour,Finish,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174585929,3bhkYoMWTFE,7,Like button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174608497,N49-cJ3Cx_s,7,Video: Info button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174611884,N49-cJ3Cx_s,7,Dislike button,,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174612753,N49-cJ3Cx_s,7,'...' button,Open,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174617092,N49-cJ3Cx_s,7,'...' button: Dislike reasons,"[""Not interested in topics"",""Dislike the creator""]",Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174617092,N49-cJ3Cx_s,7,'...' button: Five-star rating,1,Camilla
de.tum.rs.dao.Interaction,Camilla,Video,1714174617092,N49-cJ3Cx_s,7,'...' button,Submit,Camilla
